date,external_debt_usd,foreign_reserves_usd,inflation_pct
2021-06-12,96254706293.5,41727503547.2316,16.9528457221608
2021-06-13,96254706293.5,41727503547.2316,16.9528457221608
2021-06-14,96254706293.5,41727503547.2316,16.9528457221608
2021-06-15,96254706293.5,41727503547.2316,16.9528457221608
2021-06-16,96254706293.5,41727503547.2316,16.9528457221608
2021-06-17,96254706293.5,41727503547.2316,16.9528457221608
2021-06-18,96254706293.5,41727503547.2316,16.9528457221608
2021-06-19,96254706293.5,41727503547.2316,16.9528457221608
2021-06-20,96254706293.5,41727503547.2316,16.9528457221608
2021-06-21,96254706293.5,41727503547.2316,16.9528457221608
2021-06-22,96254706293.5,41727503547.2316,16.9528457221608
2021-06-23,96254706293.5,41727503547.2316,16.9528457221608
2021-06-24,96254706293.5,41727503547.2316,16.9528457221608
2021-06-25,96254706293.5,41727503547.2316,16.9528457221608
2021-06-26,96254706293.5,41727503547.2316,16.9528457221608
2021-06-27,96254706293.5,41727503547.2316,16.9528457221608
2021-06-28,96254706293.5,41727503547.2316,16.9528457221608
2021-06-29,96254706293.5,41727503547.2316,16.9528457221608
2021-06-30,96254706293.5,41727503547.2316,16.9528457221608
2021-07-01,96254706293.5,41727503547.2316,16.9528457221608
2021-07-02,96254706293.5,41727503547.2316,16.9528457221608
2021-07-03,96254706293.5,41727503547.2316,16.9528457221608
2021-07-04,96254706293.5,41727503547.2316,16.9528457221608
2021-07-05,96254706293.5,41727503547.2316,16.9528457221608
2021-07-06,96254706293.5,41727503547.2316,16.9528457221608
2021-07-07,96254706293.5,41727503547.2316,16.9528457221608
2021-07-08,96254706293.5,41727503547.2316,16.9528457221608
2021-07-09,96254706293.5,41727503547.2316,16.9528457221608
2021-07-10,96254706293.5,41727503547.2316,16.9528457221608
2021-07-11,96254706293.5,41727503547.2316,16.9528457221608
2021-07-12,96254706293.5,41727503547.2316,16.9528457221608
2021-07-13,96254706293.5,41727503547.2316,16.9528457221608
2021-07-14,96254706293.5,41727503547.2316,16.9528457221608
2021-07-15,96254706293.5,41727503547.2316,16.9528457221608
2021-07-16,96254706293.5,41727503547.2316,16.9528457221608
2021-07-17,96254706293.5,41727503547.2316,16.9528457221608
2021-07-18,96254706293.5,41727503547.2316,16.9528457221608
2021-07-19,96254706293.5,41727503547.2316,16.9528457221608
2021-07-20,96254706293.5,41727503547.2316,16.9528457221608
2021-07-21,96254706293.5,41727503547.2316,16.9528457221608
2021-07-22,96254706293.5,41727503547.2316,16.9528457221608
2021-07-23,96254706293.5,41727503547.2316,16.9528457221608
2021-07-24,96254706293.5,41727503547.2316,16.9528457221608
2021-07-25,96254706293.5,41727503547.2316,16.9528457221608
2021-07-26,96254706293.5,41727503547.2316,16.9528457221608
2021-07-27,96254706293.5,41727503547.2316,16.9528457221608
2021-07-28,96254706293.5,41727503547.2316,16.9528457221608
2021-07-29,96254706293.5,41727503547.2316,16.9528457221608
2021-07-30,96254706293.5,41727503547.2316,16.9528457221608
2021-07-31,96254706293.5,41727503547.2316,16.9528457221608
2021-08-01,96254706293.5,41727503547.2316,16.9528457221608
2021-08-02,96254706293.5,41727503547.2316,16.9528457221608
2021-08-03,96254706293.5,41727503547.2316,16.9528457221608
2021-08-04,96254706293.5,41727503547.2316,16.9528457221608
2021-08-05,96254706293.5,41727503547.2316,16.9528457221608
2021-08-06,96254706293.5,41727503547.2316,16.9528457221608
2021-08-07,96254706293.5,41727503547.2316,16.9528457221608
2021-08-08,96254706293.5,41727503547.2316,16.9528457221608
2021-08-09,96254706293.5,41727503547.2316,16.9528457221608
2021-08-10,96254706293.5,41727503547.2316,16.9528457221608
2021-08-11,96254706293.5,41727503547.2316,16.9528457221608
2021-08-12,96254706293.5,41727503547.2316,16.9528457221608
2021-08-13,96254706293.5,41727503547.2316,16.9528457221608
2021-08-14,96254706293.5,41727503547.2316,16.9528457221608
2021-08-15,96254706293.5,41727503547.2316,16.9528457221608
2021-08-16,96254706293.5,41727503547.2316,16.9528457221608
2021-08-17,96254706293.5,41727503547.2316,16.9528457221608
2021-08-18,96254706293.5,41727503547.2316,16.9528457221608
2021-08-19,96254706293.5,41727503547.2316,16.9528457221608
2021-08-20,96254706293.5,41727503547.2316,16.9528457221608
2021-08-21,96254706293.5,41727503547.2316,16.9528457221608
2021-08-22,96254706293.5,41727503547.2316,16.9528457221608
2021-08-23,96254706293.5,41727503547.2316,16.9528457221608
2021-08-24,96254706293.5,41727503547.2316,16.9528457221608
2021-08-25,96254706293.5,41727503547.2316,16.9528457221608
2021-08-26,96254706293.5,41727503547.2316,16.9528457221608
2021-08-27,96254706293.5,41727503547.2316,16.9528457221608
2021-08-28,96254706293.5,41727503547.2316,16.9528457221608
2021-08-29,96254706293.5,41727503547.2316,16.9528457221608
2021-08-30,96254706293.5,41727503547.2316,16.9528457221608
2021-08-31,96254706293.5,41727503547.2316,16.9528457221608
2021-09-01,96254706293.5,41727503547.2316,16.9528457221608
2021-09-02,96254706293.5,41727503547.2316,16.9528457221608
2021-09-03,96254706293.5,41727503547.2316,16.9528457221608
2021-09-04,96254706293.5,41727503547.2316,16.9528457221608
2021-09-05,96254706293.5,41727503547.2316,16.9528457221608
2021-09-06,96254706293.5,41727503547.2316,16.9528457221608
2021-09-07,96254706293.5,41727503547.2316,16.9528457221608
2021-09-08,96254706293.5,41727503547.2316,16.9528457221608
2021-09-09,96254706293.5,41727503547.2316,16.9528457221608
2021-09-10,96254706293.5,41727503547.2316,16.9528457221608
2021-09-11,96254706293.5,41727503547.2316,16.9528457221608
2021-09-12,96254706293.5,41727503547.2316,16.9528457221608
2021-09-13,96254706293.5,41727503547.2316,16.9528457221608
2021-09-14,96254706293.5,41727503547.2316,16.9528457221608
2021-09-15,96254706293.5,41727503547.2316,16.9528457221608
2021-09-16,96254706293.5,41727503547.2316,16.9528457221608
2021-09-17,96254706293.5,41727503547.2316,16.9528457221608
2021-09-18,96254706293.5,41727503547.2316,16.9528457221608
2021-09-19,96254706293.5,41727503547.2316,16.9528457221608
2021-09-20,96254706293.5,41727503547.2316,16.9528457221608
2021-09-21,96254706293.5,41727503547.2316,16.9528457221608
2021-09-22,96254706293.5,41727503547.2316,16.9528457221608
2021-09-23,96254706293.5,41727503547.2316,16.9528457221608
2021-09-24,96254706293.5,41727503547.2316,16.9528457221608
2021-09-25,96254706293.5,41727503547.2316,16.9528457221608
2021-09-26,96254706293.5,41727503547.2316,16.9528457221608
2021-09-27,96254706293.5,41727503547.2316,16.9528457221608
2021-09-28,96254706293.5,41727503547.2316,16.9528457221608
2021-09-29,96254706293.5,41727503547.2316,16.9528457221608
2021-09-30,96254706293.5,41727503547.2316,16.9528457221608
2021-10-01,96254706293.5,41727503547.2316,16.9528457221608
2021-10-02,96254706293.5,41727503547.2316,16.9528457221608
2021-10-03,96254706293.5,41727503547.2316,16.9528457221608
2021-10-04,96254706293.5,41727503547.2316,16.9528457221608
2021-10-05,96254706293.5,41727503547.2316,16.9528457221608
2021-10-06,96254706293.5,41727503547.2316,16.9528457221608
2021-10-07,96254706293.5,41727503547.2316,16.9528457221608
2021-10-08,96254706293.5,41727503547.2316,16.9528457221608
2021-10-09,96254706293.5,41727503547.2316,16.9528457221608
2021-10-10,96254706293.5,41727503547.2316,16.9528457221608
2021-10-11,96254706293.5,41727503547.2316,16.9528457221608
2021-10-12,96254706293.5,41727503547.2316,16.9528457221608
2021-10-13,96254706293.5,41727503547.2316,16.9528457221608
2021-10-14,96254706293.5,41727503547.2316,16.9528457221608
2021-10-15,96254706293.5,41727503547.2316,16.9528457221608
2021-10-16,96254706293.5,41727503547.2316,16.9528457221608
2021-10-17,96254706293.5,41727503547.2316,16.9528457221608
2021-10-18,96254706293.5,41727503547.2316,16.9528457221608
2021-10-19,96254706293.5,41727503547.2316,16.9528457221608
2021-10-20,96254706293.5,41727503547.2316,16.9528457221608
2021-10-21,96254706293.5,41727503547.2316,16.9528457221608
2021-10-22,96254706293.5,41727503547.2316,16.9528457221608
2021-10-23,96254706293.5,41727503547.2316,16.9528457221608
2021-10-24,96254706293.5,41727503547.2316,16.9528457221608
2021-10-25,96254706293.5,41727503547.2316,16.9528457221608
2021-10-26,96254706293.5,41727503547.2316,16.9528457221608
2021-10-27,96254706293.5,41727503547.2316,16.9528457221608
2021-10-28,96254706293.5,41727503547.2316,16.9528457221608
2021-10-29,96254706293.5,41727503547.2316,16.9528457221608
2021-10-30,96254706293.5,41727503547.2316,16.9528457221608
2021-10-31,96254706293.5,41727503547.2316,16.9528457221608
2021-11-01,96254706293.5,41727503547.2316,16.9528457221608
2021-11-02,96254706293.5,41727503547.2316,16.9528457221608
2021-11-03,96254706293.5,41727503547.2316,16.9528457221608
2021-11-04,96254706293.5,41727503547.2316,16.9528457221608
2021-11-05,96254706293.5,41727503547.2316,16.9528457221608
2021-11-06,96254706293.5,41727503547.2316,16.9528457221608
2021-11-07,96254706293.5,41727503547.2316,16.9528457221608
2021-11-08,96254706293.5,41727503547.2316,16.9528457221608
2021-11-09,96254706293.5,41727503547.2316,16.9528457221608
2021-11-10,96254706293.5,41727503547.2316,16.9528457221608
2021-11-11,96254706293.5,41727503547.2316,16.9528457221608
2021-11-12,96254706293.5,41727503547.2316,16.9528457221608
2021-11-13,96254706293.5,41727503547.2316,16.9528457221608
2021-11-14,96254706293.5,41727503547.2316,16.9528457221608
2021-11-15,96254706293.5,41727503547.2316,16.9528457221608
2021-11-16,96254706293.5,41727503547.2316,16.9528457221608
2021-11-17,96254706293.5,41727503547.2316,16.9528457221608
2021-11-18,96254706293.5,41727503547.2316,16.9528457221608
2021-11-19,96254706293.5,41727503547.2316,16.9528457221608
2021-11-20,96254706293.5,41727503547.2316,16.9528457221608
2021-11-21,96254706293.5,41727503547.2316,16.9528457221608
2021-11-22,96254706293.5,41727503547.2316,16.9528457221608
2021-11-23,96254706293.5,41727503547.2316,16.9528457221608
2021-11-24,96254706293.5,41727503547.2316,16.9528457221608
2021-11-25,96254706293.5,41727503547.2316,16.9528457221608
2021-11-26,96254706293.5,41727503547.2316,16.9528457221608
2021-11-27,96254706293.5,41727503547.2316,16.9528457221608
2021-11-28,96254706293.5,41727503547.2316,16.9528457221608
2021-11-29,96254706293.5,41727503547.2316,16.9528457221608
2021-11-30,96254706293.5,41727503547.2316,16.9528457221608
2021-12-01,96254706293.5,41727503547.2316,16.9528457221608
2021-12-02,96254706293.5,41727503547.2316,16.9528457221608
2021-12-03,96254706293.5,41727503547.2316,16.9528457221608
2021-12-04,96254706293.5,41727503547.2316,16.9528457221608
2021-12-05,96254706293.5,41727503547.2316,16.9528457221608
2021-12-06,96254706293.5,41727503547.2316,16.9528457221608
2021-12-07,96254706293.5,41727503547.2316,16.9528457221608
2021-12-08,96254706293.5,41727503547.2316,16.9528457221608
2021-12-09,96254706293.5,41727503547.2316,16.9528457221608
2021-12-10,96254706293.5,41727503547.2316,16.9528457221608
2021-12-11,96254706293.5,41727503547.2316,16.9528457221608
2021-12-12,96254706293.5,41727503547.2316,16.9528457221608
2021-12-13,96254706293.5,41727503547.2316,16.9528457221608
2021-12-14,96254706293.5,41727503547.2316,16.9528457221608
2021-12-15,96254706293.5,41727503547.2316,16.9528457221608
2021-12-16,96254706293.5,41727503547.2316,16.9528457221608
2021-12-17,96254706293.5,41727503547.2316,16.9528457221608
2021-12-18,96254706293.5,41727503547.2316,16.9528457221608
2021-12-19,96254706293.5,41727503547.2316,16.9528457221608
2021-12-20,96254706293.5,41727503547.2316,16.9528457221608
2021-12-21,96254706293.5,41727503547.2316,16.9528457221608
2021-12-22,96254706293.5,41727503547.2316,16.9528457221608
2021-12-23,96254706293.5,41727503547.2316,16.9528457221608
2021-12-24,96254706293.5,41727503547.2316,16.9528457221608
2021-12-25,96254706293.5,41727503547.2316,16.9528457221608
2021-12-26,96254706293.5,41727503547.2316,16.9528457221608
2021-12-27,96254706293.5,41727503547.2316,16.9528457221608
2021-12-28,96254706293.5,41727503547.2316,16.9528457221608
2021-12-29,96254706293.5,41727503547.2316,16.9528457221608
2021-12-30,96254706293.5,41727503547.2316,16.9528457221608
2021-12-31,96254706293.5,41727503547.2316,16.9528457221608
2022-01-01,103064224482.6,36809762970.197,18.8471877843274
2022-01-02,103064224482.6,36809762970.197,18.8471877843274
2022-01-03,103064224482.6,36809762970.197,18.8471877843274
2022-01-04,103064224482.6,36809762970.197,18.8471877843274
2022-01-05,103064224482.6,36809762970.197,18.8471877843274
2022-01-06,103064224482.6,36809762970.197,18.8471877843274
2022-01-07,103064224482.6,36809762970.197,18.8471877843274
2022-01-08,103064224482.6,36809762970.197,18.8471877843274
2022-01-09,103064224482.6,36809762970.197,18.8471877843274
2022-01-10,103064224482.6,36809762970.197,18.8471877843274
2022-01-11,103064224482.6,36809762970.197,18.8471877843274
2022-01-12,103064224482.6,36809762970.197,18.8471877843274
2022-01-13,103064224482.6,36809762970.197,18.8471877843274
2022-01-14,103064224482.6,36809762970.197,18.8471877843274
2022-01-15,103064224482.6,36809762970.197,18.8471877843274
2022-01-16,103064224482.6,36809762970.197,18.8471877843274
2022-01-17,103064224482.6,36809762970.197,18.8471877843274
2022-01-18,103064224482.6,36809762970.197,18.8471877843274
2022-01-19,103064224482.6,36809762970.197,18.8471877843274
2022-01-20,103064224482.6,36809762970.197,18.8471877843274
2022-01-21,103064224482.6,36809762970.197,18.8471877843274
2022-01-22,103064224482.6,36809762970.197,18.8471877843274
2022-01-23,103064224482.6,36809762970.197,18.8471877843274
2022-01-24,103064224482.6,36809762970.197,18.8471877843274
2022-01-25,103064224482.6,36809762970.197,18.8471877843274
2022-01-26,103064224482.6,36809762970.197,18.8471877843274
2022-01-27,103064224482.6,36809762970.197,18.8471877843274
2022-01-28,103064224482.6,36809762970.197,18.8471877843274
2022-01-29,103064224482.6,36809762970.197,18.8471877843274
2022-01-30,103064224482.6,36809762970.197,18.8471877843274
2022-01-31,103064224482.6,36809762970.197,18.8471877843274
2022-02-01,103064224482.6,36809762970.197,18.8471877843274
2022-02-02,103064224482.6,36809762970.197,18.8471877843274
2022-02-03,103064224482.6,36809762970.197,18.8471877843274
2022-02-04,103064224482.6,36809762970.197,18.8471877843274
2022-02-05,103064224482.6,36809762970.197,18.8471877843274
2022-02-06,103064224482.6,36809762970.197,18.8471877843274
2022-02-07,103064224482.6,36809762970.197,18.8471877843274
2022-02-08,103064224482.6,36809762970.197,18.8471877843274
2022-02-09,103064224482.6,36809762970.197,18.8471877843274
2022-02-10,103064224482.6,36809762970.197,18.8471877843274
2022-02-11,103064224482.6,36809762970.197,18.8471877843274
2022-02-12,103064224482.6,36809762970.197,18.8471877843274
2022-02-13,103064224482.6,36809762970.197,18.8471877843274
2022-02-14,103064224482.6,36809762970.197,18.8471877843274
2022-02-15,103064224482.6,36809762970.197,18.8471877843274
2022-02-16,103064224482.6,36809762970.197,18.8471877843274
2022-02-17,103064224482.6,36809762970.197,18.8471877843274
2022-02-18,103064224482.6,36809762970.197,18.8471877843274
2022-02-19,103064224482.6,36809762970.197,18.8471877843274
2022-02-20,103064224482.6,36809762970.197,18.8471877843274
2022-02-21,103064224482.6,36809762970.197,18.8471877843274
2022-02-22,103064224482.6,36809762970.197,18.8471877843274
2022-02-23,103064224482.6,36809762970.197,18.8471877843274
2022-02-24,103064224482.6,36809762970.197,18.8471877843274
2022-02-25,103064224482.6,36809762970.197,18.8471877843274
2022-02-26,103064224482.6,36809762970.197,18.8471877843274
2022-02-27,103064224482.6,36809762970.197,18.8471877843274
2022-02-28,103064224482.6,36809762970.197,18.8471877843274
2022-03-01,103064224482.6,36809762970.197,18.8471877843274
2022-03-02,103064224482.6,36809762970.197,18.8471877843274
2022-03-03,103064224482.6,36809762970.197,18.8471877843274
2022-03-04,103064224482.6,36809762970.197,18.8471877843274
2022-03-05,103064224482.6,36809762970.197,18.8471877843274
2022-03-06,103064224482.6,36809762970.197,18.8471877843274
2022-03-07,103064224482.6,36809762970.197,18.8471877843274
2022-03-08,103064224482.6,36809762970.197,18.8471877843274
2022-03-09,103064224482.6,36809762970.197,18.8471877843274
2022-03-10,103064224482.6,36809762970.197,18.8471877843274
2022-03-11,103064224482.6,36809762970.197,18.8471877843274
2022-03-12,103064224482.6,36809762970.197,18.8471877843274
2022-03-13,103064224482.6,36809762970.197,18.8471877843274
2022-03-14,103064224482.6,36809762970.197,18.8471877843274
2022-03-15,103064224482.6,36809762970.197,18.8471877843274
2022-03-16,103064224482.6,36809762970.197,18.8471877843274
2022-03-17,103064224482.6,36809762970.197,18.8471877843274
2022-03-18,103064224482.6,36809762970.197,18.8471877843274
2022-03-19,103064224482.6,36809762970.197,18.8471877843274
2022-03-20,103064224482.6,36809762970.197,18.8471877843274
2022-03-21,103064224482.6,36809762970.197,18.8471877843274
2022-03-22,103064224482.6,36809762970.197,18.8471877843274
2022-03-23,103064224482.6,36809762970.197,18.8471877843274
2022-03-24,103064224482.6,36809762970.197,18.8471877843274
2022-03-25,103064224482.6,36809762970.197,18.8471877843274
2022-03-26,103064224482.6,36809762970.197,18.8471877843274
2022-03-27,103064224482.6,36809762970.197,18.8471877843274
2022-03-28,103064224482.6,36809762970.197,18.8471877843274
2022-03-29,103064224482.6,36809762970.197,18.8471877843274
2022-03-30,103064224482.6,36809762970.197,18.8471877843274
2022-03-31,103064224482.6,36809762970.197,18.8471877843274
2022-04-01,103064224482.6,36809762970.197,18.8471877843274
2022-04-02,103064224482.6,36809762970.197,18.8471877843274
2022-04-03,103064224482.6,36809762970.197,18.8471877843274
2022-04-04,103064224482.6,36809762970.197,18.8471877843274
2022-04-05,103064224482.6,36809762970.197,18.8471877843274
2022-04-06,103064224482.6,36809762970.197,18.8471877843274
2022-04-07,103064224482.6,36809762970.197,18.8471877843274
