Date,xofficial,High,Low,Open,Volume
2024-01-02,898.5999755859375,898.5999755859375,895.0,898.5999755859375,0
2024-01-03,884.2999877929688,885.4099731445312,883.510009765625,884.2999877929688,0
2024-01-04,891.4000244140625,911.9400024414062,891.3400268554688,891.4000244140625,0
2024-01-05,912.0,913.9299926757812,911.8800048828125,912.0,0
2024-01-08,913.969970703125,910.0399780273438,883.5700073242188,909.4099731445312,0
2024-01-09,884.8049926757812,914.0,882.0900268554688,884.7000122070312,0
2024-01-10,914.0,914.0,913.9299926757812,914.0,0
2024-01-11,950.989990234375,957.5499877929688,950.989990234375,950.989990234375,0
2024-01-12,957.5499877929688,958.5,957.5499877929688,957.5499877929688,0
2024-01-15,957.010009765625,957.5499877929688,957.3599853515625,957.3599853515625,0
2024-01-16,957.5499877929688,960.0900268554688,910.25,957.5499877929688,0
2024-01-17,895.0,910.25,895.0,895.0,0
2024-01-18,873.4840087890625,895.02001953125,858.0,858.5599975585938,0
2024-01-19,895.02001953125,896.0,860.0,895.02001953125,0
2024-01-22,890.5399780273438,910.5,890.0,910.5,0
2024-01-23,890.510009765625,890.510009765625,870.0,890.510009765625,0
2024-01-24,915.4409790039062,915.0,899.77001953125,915.0,0
2024-01-25,899.77001953125,901.0,893.9500122070312,899.77001953125,0
2024-01-26,888.0,900.0999755859375,888.0,888.0,0
2024-01-29,898.7000122070312,910.5,891.5499877929688,900.780029296875,0
2024-01-30,893.0,893.0,891.0,893.0,0
2024-01-31,896.0,1191.0,896.0,896.0,0
2024-02-01,1194.0,1194.0,1192.0,1194.0,0
2024-02-02,1192.0,1413.0,1194.0,1194.0,0
2024-02-05,1192.0,1400.969970703125,1400.0,1400.0,0
2024-02-06,1400.0999755859375,1420.0,1399.5,1399.5,0
2024-02-07,1407.5,1417.6300048828125,1407.0,1407.5,0
2024-02-08,1417.6300048828125,1417.6300048828125,1417.1700439453125,1417.6300048828125,0
2024-02-09,1403.510009765625,1450.4000244140625,1397.0,1444.56005859375,0
2024-02-12,1474.1199951171875,1504.5,1474.1199951171875,1474.1199951171875,0
2024-02-13,1503.0,1503.0,1449.0,1503.0,0
2024-02-14,1515.0899658203125,1516.0,1499.3900146484375,1515.0899658203125,0
2024-02-15,1516.0,1516.699951171875,1514.0,1516.0,0
2024-02-16,1516.699951171875,1524.3299560546875,1493.1199951171875,1516.699951171875,0
2024-02-19,1493.22998046875,1530.5,1493.22998046875,1493.22998046875,0
2024-02-20,1493.22998046875,1605.800048828125,1490.0,1493.22998046875,0
2024-02-21,1605.800048828125,1606.0,1590.0,1605.800048828125,0
2024-02-22,1606.5,1606.5,1599.75,1606.5,0
2024-02-23,1606.5,1606.5,1604.550048828125,1606.5,0
2024-02-26,1606.5,1606.5,1560.0,1606.5,0
2024-02-27,1544.0,1574.0,1561.6400146484375,1563.5,0
2024-02-28,1578.5799560546875,1630.1600341796875,1558.0,1578.5799560546875,0
2024-02-29,1630.1600341796875,1630.1600341796875,1580.0,1630.1600341796875,0
2024-03-01,1617.050048828125,1617.050048828125,1616.0,1617.050048828125,0
2024-03-04,1577.56005859375,1544.0799560546875,1509.75,1544.0799560546875,0
2024-03-05,1511.989990234375,1560.510009765625,1540.0,1544.0799560546875,0
2024-03-06,1560.510009765625,1590.6700439453125,1560.0,1560.510009765625,0
2024-03-07,1590.6700439453125,1595.0,1580.5699462890625,1590.6700439453125,0
2024-03-08,1591.0,1595.0,1585.0,1591.0,0
2024-03-11,1593.8399658203125,1625.3699951171875,1585.0,1593.8399658203125,0
2024-03-12,1624.72998046875,1624.72998046875,1574.68994140625,1624.72998046875,0
2024-03-13,1612.280029296875,1612.280029296875,1579.75,1612.280029296875,0
2024-03-14,1612.280029296875,1616.0,1585.0,1593.4100341796875,0
2024-03-15,1594.0,1610.239990234375,1580.530029296875,1594.0,0
2024-03-18,1610.6199951171875,1591.8199462890625,1550.0,1591.6400146484375,0
2024-03-19,1563.9599609375,1564.719970703125,1476.75,1563.9599609375,0
2024-03-20,1476.75,1510.010009765625,1476.0,1476.75,0
2024-03-21,1481.0,1420.0,1369.989990234375,1420.0,0
2024-03-22,1369.989990234375,1428.530029296875,1410.43994140625,1410.43994140625,0
2024-03-25,1464.0,1449.5,1400.1400146484375,1448.3900146484375,0
2024-03-26,1424.3299560546875,1439.8900146484375,1391.530029296875,1424.3299560546875,0
2024-03-27,1394.52001953125,1403.219970703125,1394.52001953125,1394.52001953125,0
2024-03-28,1418.0699462890625,1418.0699462890625,1393.0,1418.0699462890625,0
2024-03-29,1393.010009765625,1393.010009765625,1393.010009765625,1393.010009765625,0
2024-04-01,1303.8399658203125,1306.1700439453125,1303.0,1303.8399658203125,0
2024-04-02,1306.1700439453125,1327.0400390625,1294.5,1306.1700439453125,0
2024-04-03,1304.0,1319.0999755859375,1259.0999755859375,1294.5,0
2024-04-04,1319.0999755859375,1319.1099853515625,1319.0999755859375,1319.0999755859375,0
2024-04-05,1319.0999755859375,1319.1099853515625,1242.5,1319.0999755859375,0
2024-04-08,1247.25,1295.6600341796875,1243.1500244140625,1295.6600341796875,0
2024-04-09,1241.1300048828125,1248.5899658203125,1236.739990234375,1241.1300048828125,0
2024-04-10,1248.0899658203125,1248.0899658203125,1245.449951171875,1248.0899658203125,0
2024-04-11,1239.3599853515625,1246.6700439453125,1239.3599853515625,1239.3599853515625,0
2024-04-12,1241.7900390625,1245.8699951171875,1193.8699951171875,1241.7900390625,0
2024-04-15,1200.0,1189.5,1150.72998046875,1150.8699951171875,0
2024-04-16,1152.5,1172.6400146484375,1147.199951171875,1152.5,0
2024-04-17,1140.5,1150.6800537109375,1139.3199462890625,1140.5,0
2024-04-18,1140.1400146484375,1164.199951171875,1138.0,1160.06005859375,0
2024-04-19,1149.77001953125,1150.5799560546875,1077.0,1149.77001953125,0
2024-04-22,1075.25,1189.25,1075.25,1075.25,0
2024-04-23,1233.0,1256.4599609375,1231.9599609375,1233.0,0
2024-04-24,1233.0,1290.0,1233.0,1233.0,0
2024-04-25,1253.530029296875,1279.52001953125,1253.530029296875,1253.530029296875,0
2024-04-26,1276.0,1305.719970703125,1279.52001953125,1279.52001953125,0
2024-04-29,1325.4599609375,1359.1700439453125,1324.6300048828125,1325.4599609375,0
2024-04-30,1356.5,1388.969970703125,1356.5,1356.5,0
2024-05-01,1389.5,1399.489990234375,1389.5,1389.5,0
2024-05-02,1394.0,1397.6099853515625,1368.8199462890625,1394.0,0
2024-05-03,1372.449951171875,1406.7099609375,1372.449951171875,1372.449951171875,0
2024-05-06,1393.239990234375,1405.8399658203125,1390.8399658203125,1393.239990234375,0
2024-05-07,1383.5,1384.3299560546875,1380.199951171875,1383.5,0
2024-05-08,1385.949951171875,1417.6400146484375,1383.4000244140625,1385.949951171875,0
2024-05-09,1406.9000244140625,1434.5,1405.75,1406.9000244140625,0
2024-05-10,1419.030029296875,1436.5,1419.030029296875,1419.030029296875,0
2024-05-13,1465.5400390625,1465.5400390625,1444.7900390625,1465.5400390625,0
2024-05-14,1444.7900390625,1492.489990234375,1483.97998046875,1483.97998046875,0
2024-05-15,1502.0,1533.719970703125,1474.5,1502.0,0
2024-05-16,1521.5,1544.5,1516.489990234375,1521.5,0
2024-05-17,1522.5,1524.5,1469.5,1522.5,0
2024-05-20,1494.5,1531.9300537109375,1479.06005859375,1494.5,0
2024-05-21,1531.9300537109375,1531.9300537109375,1415.0,1531.9300537109375,0
2024-05-22,1420.0,1454.5,1418.0,1420.0,0
2024-05-23,1432.0,1450.75,1429.5,1432.0,0
2024-05-24,1443.5,1479.5,1443.5,1443.5,0
2024-05-27,1467.6500244140625,1504.5,1467.6500244140625,1467.6500244140625,0
2024-05-28,1477.1300048828125,1481.9599609375,1390.4599609375,1477.1300048828125,0
2024-05-29,1390.449951171875,1446.9599609375,1399.9599609375,1429.4599609375,0
2024-05-30,1400.4599609375,1477.0,1467.0,1467.146728515625,0
2024-05-31,1334.050048828125,1336.0,1334.0400390625,1334.050048828125,0
2024-06-03,1484.5,1504.5,1474.5,1484.5,0
2024-06-04,1484.739990234375,1493.0,1480.5,1484.739990234375,0
2024-06-05,1468.9100341796875,1498.2900390625,1493.0,1493.0,0
2024-06-06,1497.030029296875,1497.030029296875,1495.719970703125,1497.030029296875,0
2024-06-07,1495.719970703125,1495.719970703125,1470.719970703125,1495.719970703125,0
2024-06-10,1497.3399658203125,1511.3900146484375,1471.3699951171875,1497.3399658203125,0
2024-06-11,1501.3699951171875,1501.3699951171875,1475.719970703125,1501.3699951171875,0
2024-06-12,1504.5,1504.5,1480.0,1504.5,0
2024-06-13,1504.5,1504.510009765625,1482.530029296875,1504.5,0
2024-06-14,1504.5,1504.5,1477.010009765625,1504.5,0
2024-06-17,1495.0,1482.5400390625,1482.5400390625,1482.5400390625,0
2024-06-18,1483.3199462890625,1494.5,1480.0,1494.5,0
2024-06-19,1490.0,1526.72998046875,1490.0,1490.0,0
2024-06-20,1489.5,1489.5,1489.5,1489.5,0
2024-06-21,1488.5,1514.5,1476.0,1488.5,0
2024-06-24,1514.5400390625,1530.4000244140625,1513.1400146484375,1514.550048828125,0
2024-06-25,1530.3900146484375,1535.3900146484375,1517.8900146484375,1530.3900146484375,0
2024-06-26,1535.3900146484375,1539.75,1515.4000244140625,1535.3900146484375,0
2024-06-27,1539.739990234375,1544.739990234375,1539.739990234375,1539.739990234375,0
2024-06-28,1539.739990234375,1539.969970703125,1529.2900390625,1539.739990234375,0
2024-07-01,1528.510009765625,1534.1400146484375,1532.1300048828125,1534.1400146484375,0
2024-07-02,1499.0,1504.0,1470.18994140625,1499.0,0
2024-07-03,1504.0,1504.0,1504.0,1504.0,0
2024-07-04,1525.75,1525.75,1525.75,1525.75,0
2024-07-05,1525.75,1525.75,1505.550048828125,1525.75,0
2024-07-08,1550.219970703125,1550.219970703125,1525.219970703125,1550.219970703125,0
2024-07-09,1550.219970703125,1550.219970703125,1535.6700439453125,1550.219970703125,0
2024-07-10,1550.219970703125,1577.719970703125,1544.9599609375,1550.219970703125,0
2024-07-11,1577.719970703125,1591.72998046875,1546.0799560546875,1577.719970703125,0
2024-07-12,1587.0,1619.4100341796875,1569.5,1587.0,0
2024-07-15,1597.530029296875,1619.3399658203125,1597.530029296875,1597.530029296875,0
2024-07-16,1599.5,1620.8599853515625,1610.1099853515625,1620.8599853515625,0
2024-07-17,1618.3599853515625,1628.3599853515625,1613.3599853515625,1618.3599853515625,0
2024-07-18,1614.3399658203125,1659.5,1603.5799560546875,1614.3399658203125,0
2024-07-19,1626.8399658203125,1634.3399658203125,1626.8399658203125,1626.8399658203125,0
2024-07-22,1624.8299560546875,1644.81005859375,1584.0,1624.8399658203125,0
2024-07-23,1586.5999755859375,1606.510009765625,1576.5,1586.5999755859375,0
2024-07-24,1593.75,1593.75,1552.300048828125,1593.75,0
2024-07-25,1583.75,1583.760009765625,1544.800048828125,1583.75,0
2024-07-26,1595.5,1595.5,1556.550048828125,1595.5,0
2024-07-29,1599.3900146484375,1619.5,1619.489990234375,1619.5,0
2024-07-30,1619.5,1659.489990234375,1597.010009765625,1619.5,0
2024-07-31,1624.5,1660.5699462890625,1635.56005859375,1660.5699462890625,0
2024-08-01,1660.5699462890625,1660.5699462890625,1660.56005859375,1660.5699462890625,0
2024-08-02,1660.5699462890625,1660.5699462890625,1616.530029296875,1660.5699462890625,0
2024-08-05,1625.47998046875,1625.8900146484375,1594.06005859375,1625.8900146484375,0
2024-08-06,1594.06005859375,1594.06005859375,1593.449951171875,1594.06005859375,0
2024-08-07,1593.449951171875,1607.2099609375,1580.949951171875,1607.2099609375,0
2024-08-08,1580.949951171875,1599.489990234375,1580.949951171875,1580.949951171875,0
2024-08-09,1599.489990234375,1599.489990234375,1569.5,1599.489990234375,0
2024-08-12,1583.530029296875,1589.5,1559.5,1589.5,0
2024-08-13,1589.5,1589.510009765625,1579.5,1583.52001953125,0
2024-08-14,1589.5,1589.510009765625,1589.5,1589.5,0
2024-08-15,1589.5,1589.5,1573.9000244140625,1589.5,0
2024-08-16,1592.219970703125,1592.219970703125,1587.3399658203125,1592.219970703125,0
2024-08-19,1589.5,1589.5400390625,1580.6300048828125,1589.5,0
2024-08-20,1597.0,1597.0,1589.5,1597.0,0
2024-08-21,1574.8499755859375,1581.81005859375,1571.25,1574.8499755859375,0
2024-08-22,1575.75,1582.4300537109375,1572.8699951171875,1575.75,0
2024-08-23,1575.0799560546875,1588.8499755859375,1573.8599853515625,1575.0799560546875,0
